phase,sub_stage,experiment,model,data_desc,elements,mw_range,n_data,split,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
1,1.1,baseline_ridge,ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1702755689620971,0.237195935859488,0.835128664970398,0.2082176506519317,0.2933366754031709,0.8967105746269226,0.2724094986915588,0.393450398979804,0.8306388854980469,0.2169675727685292,0.3079943367474876,0.8541593750317892
1,1.1,baseline_extratrees,extratrees,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1677544321107863,0.2549738890627477,0.8094880941029539,0.158415951611787,0.2610436835193327,0.9182007023831424,0.1940714158078035,0.3237083645929324,0.8853585667658616,0.1734139331767923,0.2799086457250043,0.8710157877506526
1,1.1,baseline_randomforest,randomforest,10k CHON,"C,H,N,O",200-300,10000,random_test,0.18157068784192,0.2718931543983777,0.7833656841917975,0.1767595299542684,0.2771509990107912,0.9077946558354152,0.2144307152284905,0.342749189385301,0.8714752889214779,0.1909203110082263,0.2972644475981567,0.8542118763162302
1,1.1,baseline_lightgbm,lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1371701433734624,0.1996869124638228,0.883149679107452,0.1511685296038877,0.2199436959965946,0.9419307477063852,0.1876434477551123,0.2954800789366284,0.904480910003645,0.1586607069108208,0.2383702291323486,0.9098537789391606
1,1.2,optuna_tuned_lgbm_10k,lightgbm_tuned,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1355,0.201,0.882,0.1413,0.2126,0.946,0.1799,0.2906,0.908,0.1522,0.2347,0.912
1,1.2,optuna_tuned_lgbm_10k,lightgbm_tuned,10k CHON,"C,H,N,O",200-300,10000,scaffold_test,0.1637,0.2267,0.851,0.1766,0.2532,0.917,0.2294,0.3139,0.876,0.1899,0.2646,0.881
1,1.3,emb_traditional_lightgbm,traditional_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1371701433734624,0.1996869124638228,0.883149679107452,0.1511685296038877,0.2199436959965946,0.9419307477063852,0.1876434477551123,0.2954800789366284,0.904480910003645,0.1586607069108208,0.2383702291323486,0.9098537789391606
1,1.3,emb_fusion_chemberta_lightgbm,fusion_chemberta_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1518583733414117,0.2183802112977022,0.8602482454461697,0.1512388877579419,0.2257634165453166,0.938817061145254,0.201140993302731,0.3105249243330387,0.8945062591566866,0.1680794181340282,0.2515561840586858,0.8978571885827034
1,1.3,emb_fusion_molformer_lightgbm,fusion_molformer_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1514095504670414,0.2131461582474813,0.8668669983053254,0.1574902832474149,0.2249112726252735,0.9392780594348225,0.2055684877615047,0.3111603965368305,0.8940740430615399,0.171489440491987,0.2497392758031951,0.9000730336005626
1,1.3,emb_fusion_both_emb_lightgbm,fusion_both_emb_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1560384085088399,0.2199657052919507,0.8582116148124493,0.1590806486710124,0.231042591382961,0.9359222445813292,0.2090911380866395,0.3157516146326242,0.8909250748412112,0.1747367317554973,0.255586637102512,0.8950196447449965
1,1.3,emb_traditional_ridge,traditional_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1702755689620971,0.237195935859488,0.835128664970398,0.2082176506519317,0.2933366754031709,0.8967105746269226,0.2724094986915588,0.393450398979804,0.8306388854980469,0.2169675727685292,0.3079943367474876,0.8541593750317892
1,1.3,emb_fusion_molformer_ridge,fusion_molformer_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.178422749042511,0.2477851448017584,0.8200792670249939,0.2093708962202072,0.2949837752301322,0.8955473899841309,0.2799515128135681,0.3991877280647196,0.8256635665893555,0.2225817193587621,0.3139855493655367,0.8470967411994934
1,1.3,emb_fusion_chemberta_ridge,fusion_chemberta_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1817793548107147,0.2494565899109808,0.8176437616348267,0.2114308029413223,0.297331446554968,0.8938781023025513,0.2776333689689636,0.3990010595558553,0.8258265852928162,0.2236145089070002,0.3152630320072681,0.8457828164100647
1,1.3,emb_fusion_both_emb_ridge,fusion_both_emb_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1906564086675644,0.2611868420830168,0.8000905513763428,0.214656800031662,0.3027646941722753,0.8899642825126648,0.2886632680892944,0.4081992190233466,0.8177036046981812,0.2313254922628402,0.3240502517595462,0.8359194795290629
1,1.3,emb_both_emb_only_lightgbm,both_emb_only_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1969274594904589,0.273949688159146,0.7800761517887866,0.2366603434031354,0.3230696901789949,0.874710225708227,0.2732469660804483,0.3843358955536312,0.8383946778525184,0.2356115896580142,0.3271184246305907,0.8310603517831773
1,1.3,emb_molformer_only_lightgbm,molformer_only_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.1978466544406416,0.2761242371432738,0.7765708859582392,0.2519014714649001,0.342438601407789,0.8592369638276884,0.285308489449834,0.4067020274276358,0.8190383954717937,0.2450188717851253,0.3417549553262329,0.8182820817525739
1,1.3,emb_both_emb_only_ridge,both_emb_only_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.213935375213623,0.2839143832085695,0.7637860774993896,0.2593825161457062,0.3507535209825703,0.8523181080818176,0.316847950220108,0.4336070840520815,0.7943037152290344,0.2633886138598124,0.3560916627477404,0.8034693002700806
1,1.3,emb_molformer_only_ridge,molformer_only_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.2210748642683029,0.2944648941129262,0.7459040880203247,0.2646843791007995,0.355534201664159,0.8482649326324463,0.3272384703159332,0.4468657525979759,0.7815319895744324,0.2709992378950119,0.3656216161250203,0.7919003367424011
1,1.3,emb_chemberta_only_lightgbm,chemberta_only_lightgbm,10k CHON,"C,H,N,O",200-300,10000,random_test,0.2494934513764471,0.337237733726529,0.6667247755272121,0.2834633540772416,0.3883099809052939,0.8189992795282858,0.327576165005594,0.4507268591903848,0.777740342279261,0.2868443234864276,0.3920915246074026,0.7544881324449196
1,1.3,emb_chemberta_only_ridge,chemberta_only_ridge,10k CHON,"C,H,N,O",200-300,10000,random_test,0.269628643989563,0.3532912242886785,0.6342398524284363,0.3190982639789581,0.4145174046751817,0.7937430143356323,0.3672614693641662,0.4878931257735117,0.7395747303962708,0.3186627924442291,0.4185672515791239,0.7225191990534464
1,1.4,adv_xgboost,xgboost,30k CHON,"C,H,N,O",200-300,30000,random_test,0.1317304074764251,0.1845035432207829,0.890505313873291,0.1432946026325225,0.207363491857687,0.94682115316391,0.181246131658554,0.2667669405138657,0.9160950183868408,0.1520903805891672,0.2195446585307786,0.917807161808014
1,1.4,adv_per_target_lgbm,per_target_lgbm,30k CHON,"C,H,N,O",200-300,30000,random_test,0.1344852447509765,0.1836595518812692,0.8915047645568848,0.1472098976373672,0.2080469587141807,0.946470022201538,0.1797235459089279,0.2640955452867577,0.9177671074867249,0.1538062294324239,0.2186006852940692,0.9185806314150492
1,1.4,adv_tuned_lgbm,tuned_lgbm,30k CHON,"C,H,N,O",200-300,30000,random_test,0.1339018027042885,0.1832048217431105,0.8920413701206203,0.1486360545426579,0.2087015942177504,0.9461326157868344,0.1856437553876853,0.2692350183574959,0.9145353313884976,0.1560605375448772,0.2203804781061189,0.917569772431984
1,1.4,adv_stacking,stacking,30k CHON,"C,H,N,O",200-300,30000,random_test,0.1353069841861724,0.1844568559817803,0.8905607461929321,0.1493537724018097,0.2055454198132588,0.9477495551109314,0.1869205236434936,0.2708169155768909,0.9135280847549438,0.1571937600771586,0.2202730637906433,0.9172794620196024
1,1.4,adv_catboost,catboost,30k CHON,"C,H,N,O",200-300,30000,random_test,0.1469107010855029,0.1960973041686708,0.8763122152017523,0.1662339183485653,0.2279467259265434,0.935739948232636,0.2089203006866563,0.2933165393077236,0.8985629465739813,0.1740216400402415,0.2391201898009793,0.9035383700027898
1,1.4,adv_dart_lgbm,dart_lgbm,30k CHON,"C,H,N,O",200-300,30000,random_test,0.3505018158318013,0.4020686449587226,0.4800231873866863,0.2038607791307249,0.2746745644640874,0.9066936409735268,0.3688954081534689,0.4449448832579545,0.7665811342989369,0.3077526677053318,0.3738960308935882,0.71776598755305
1,1.5,data_scaling_30k_tuned,lightgbm_tuned,30k CHON,"C,H,N,O",200-300,30000,random_test,0.1297765219056008,0.18028364673295916,0.8954566930927784,0.1415813167896679,0.20482271559970175,0.9481163413443092,0.17796615213691047,0.2637568372820237,0.9179778831321765,0.1497746636107264,0.2162877332048949,0.920516972523088
1,1.5,data_scaling_30k_tuned,lightgbm_tuned,30k CHON,"C,H,N,O",200-300,30000,scaffold_test,0.15403886675138745,0.21906716463431933,0.841618627354305,0.17375606953545836,0.23458689354285572,0.9228815313248268,0.22762846104610102,0.317342532252271,0.8752564679275794,0.1851411324443156,0.256998863476482,0.8799188755355704
2,2.1,gen_step0_chon_mw200_300,lightgbm_tuned,"10k C,H,N,O","C,H,N,O",200-300,10000,random_test,0.13709179358791437,0.19503935534200495,0.8771892566651658,0.1536623167538558,0.22372861218628012,0.9369364161643129,0.19445722022617287,0.2904100191623943,0.8896028921584033,0.16173711018931436,0.23639266223022645,0.9012428549959606
2,2.2,gen_step1_chon_mw200_500,lightgbm_tuned,"10k C,H,N,O","C,H,N,O",200-500,10000,random_test,0.13069894270549987,0.18740075260418187,0.8495046931589296,0.15812885433763818,0.23384686749949193,0.9305335219916476,0.19965558429036473,0.2895264171104927,0.8859077713852029,0.16282779377783427,0.2369246790713888,0.8886486621785933
2,2.3,gen_step2_chons_mw200_500,lightgbm_tuned,"10k C,H,N,O,S","C,H,N,O,S",200-500,10000,random_test,0.14769696641855312,0.20941284161855925,0.8237981779037438,0.1539750831266764,0.22893206155895038,0.9241138260296826,0.19948649483036457,0.29009817596151466,0.8886526651787151,0.16705284812519805,0.2428143597130081,0.8788548897040472
2,2.4,gen_step3_chonsf_mw200_500,lightgbm_tuned,"10k C,F,H,N,O,S","C,F,H,N,O,S",200-500,10000,random_test,0.15198265799172186,0.22372602426929336,0.8172306651059229,0.15589559067116765,0.22323068650612182,0.9311648094842143,0.2118475689394539,0.31160790929894355,0.8842323502091074,0.17324193920078113,0.25285487335811957,0.877542608266415
2,2.5,gen_step4_chonsfcl_mw200_500,lightgbm_tuned,"10k C,Cl,F,H,N,O,S","C,Cl,F,H,N,O,S",200-500,10000,random_test,0.14403693991202546,0.2108862608143334,0.8488673328324048,0.16640133188264866,0.24678481296370955,0.9077454513625051,0.2158569386465597,0.3218705775258725,0.864098542023715,0.17543173681374458,0.25984721710130515,0.873570442072875
3,3.1,phase3_baseline_no_select,lightgbm,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.1448412035018747,0.19520493149519894,0.8436874353943771,0.15686287815499608,0.2191234180873285,0.9154344927168371,0.21018587167862074,0.29153531105760044,0.8674982149496282,0.17062998444516383,0.23528788688004262,0.8755400476869474
3,3.2,phase3_catboost,catboost,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.157909787642915,0.20810502408708337,0.8223449944490878,0.17177861098047822,0.23112401264206434,0.9059181586971717,0.2280351735964413,0.3069954570580233,0.8530724294009742,0.1859078574066115,0.24874149792905698,0.8604451941824113
3,3.2,phase3_histgbt,histgbt,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.14249776111439147,0.19367372760869883,0.846130075320983,0.1585802533525639,0.22268739688267658,0.9126612548290876,0.2066620354840514,0.28916290489497704,0.8696459412500057,0.16924668331700224,0.2351746764621175,0.8761457571333588
3,3.3,phase3_per_target_lgbm,per_target_lgbm,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.13377518419075826,0.18595986909355722,0.8581429964792129,0.14785721851955289,0.21169974369663364,0.9210674133156712,0.19514835073371778,0.28003980692502195,0.8777415348662315,0.1589269178146763,0.2258998065717376,0.885650648220372
3,3.2,phase3_tuned_lgbm,lightgbm_tuned,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.13687209834456363,0.18927292480141436,0.8530433291797528,0.14628876438622157,0.2092538592838399,0.92288078082961,0.1957826835734809,0.27733518569538057,0.8800916726910359,0.1596478487680887,0.2252873232602116,0.8853385942334663
3,3.2,phase3_tuned_xgb,xgboost_tuned,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.13848979771137238,0.19219370808692876,0.8484727740287781,0.14887933433055878,0.2135978814697306,0.9196456074714661,0.19737373292446136,0.2809312922011451,0.876961886882782,0.16158095498879751,0.2289076272526015,0.881693422794342
4,4.1,phase4_attentivefp,AttentiveFP,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.14494578540325165,0.19893243260750437,0.8376607894897461,0.14470626413822174,0.20118723505138383,0.928712010383606,0.19942578673362732,0.2885958281041015,0.8701567053794861,0.16302594542503357,0.2295718319209966,0.8788431684176127
4,4.2,phase4_ensemble_blend,weighted_blend,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.1357015025437185,,0.8523906783739184,0.1439693684363039,,0.9250372666188335,0.19273124669834646,,0.8820436344815633,0.15746737255945628,,0.8864905264914383
4,4.2,phase4_ensemble_stack,ridge_stack,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.13383128166108121,,0.8566169525258714,0.14283745069792353,,0.926242130945729,0.18632332530301748,,0.8907481658294686,0.15433068588734075,,0.8912024164336897
4,4.3,phase4_lgbm_schnet_fusion,lgbm_schnet_features,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.13610067392845818,,0.8498870079098468,0.14677108472692302,,0.9221334839008926,0.19542054192170158,,0.880046064354665,0.15943076685902757,,0.8840221853884681
4,4.1,phase4_schnet_3d,SchNet_3D,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.1308957040309906,0.18953436653172537,0.8537026643753052,0.13829803466796875,0.19966046599544576,0.9332408905029297,0.178299218416214,0.2642423604097278,0.8958047032356262,0.1491643190383911,0.21781239764563298,0.894249419371287
4,4.4,phase4_schnet_optuna,SchNet_3D_optuna,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.12370981276035309,0.17976386064826563,0.8683971762657166,0.12793466448783875,0.18735774922502624,0.9412145614624023,0.17253069579601288,0.26029436895509533,0.8988949656486511,0.14139172434806824,0.20913865960946243,0.9028355677922567
4,4.5,phase4_stacking_v2,Ridge_stack_3model,30k CHONSFCl,"C,Cl,F,H,N,O,S",200-500,30000,random_test,0.11665991147607353,0.16307199720242938,0.8917022914544638,0.11777401359295603,0.17104223895607149,0.951007080393872,0.16025504922987985,0.23118976693471943,0.9202408573168763,0.1315629914329698,0.18843466769774012,0.9209834097217374
